uid,opportunities
102001,Animation Studios
102001,Media Agencies
102001,Film Production
102001,Post Production
102001,Advertising Agencies
102001,Computer and Mobile Game Developers
102002,Airframe Design Engineer
102002,Logistics Engineer
102002,Integration Engineer
102002,Manufacturing Engineer
102002,Composites Engineer
102002,Thermal Design Engineer
102003,Crop specialist
102003,Fertilizer sales representative
102003,Food microbiologist
102003,Plant geneticist
102003,Soil surveyor
102003,Farm manager
102004,Archeological Department
102004,Ministry of Defense
102004,National Building Organization
102004,Town and Country Planning Organization
102004,Post and Telegraphs
102004,National Building Construction Corporation
102005,Automobile Technicians
102005,Automobile Designers
102005,Bike Mechanics
102005,Car Mechanics
102005,Quality Engineer
102005,Diesel Mechanics
